Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Costa Rica,2011,2289.8872,8.35133,0.4875928,,19487.002,0.975,0.778,79.624,5.4,72.868,9.518
Costa Rica,2012,2242.5991,8.41212,0.4841734,,20201.389,0.978,0.782,79.925,5.6,73.946,9.11
Costa Rica,2013,2156.5581,8.581184,0.49151823,,20476.135,0.979,0.787,80.1892,5.5,74.97,8.218
Costa Rica,2014,2135.5332,8.75025,0.4863214,,20974.729,0.978,0.79,80.2313,5.4,75.941,8.499
Costa Rica,2015,2156.9102,8.5845,0.48374,,21510.977,0.983,0.792,80.4069,5.5,76.862,8.415
Costa Rica,2016,2212.3835,8.56439,0.48704153,,22189.879,0.978,0.796,79.9879,5.5,77.735,8.085
Costa Rica,2017,2212.3835,8.64378,0.4834524,,22895.232,0.982,0.8,79.9944,5.2,78.56,7.729
Croatia,2010,1942.9996,11.02225,0.32373103,,28691.814,0.98,0.824,76.6761,5.0,55.155,11.62
Croatia,2011,1940.2762,11.14391,0.32254267,,28762.904,0.977,0.829,76.9926,4.7,55.322,13.678
Croatia,2012,1923.3143,11.269722,0.324717,,28248.32,0.979,0.832,77.2841,4.8,55.506,15.935
Croatia,2013,1909.4851,11.396954,0.3199227,,28389.107,0.981,0.839,77.51,4.5,55.706,17.251
Croatia,2014,1891.6031,11.525622,0.32102978,,28448.125,0.982,0.842,77.5144,4.6,55.923,17.29
Croatia,2015,1827.651,11.655744,0.31113166,,29458.7,0.984,0.844,77.6329,4.7,56.155,16.175
Croatia,2016,1834.9327,11.7873335,0.30897906,,30811.209,0.985,0.85,77.6294,4.9,56.403,13.103
Croatia,2017,1834.9327,11.920409,0.30352312,,32337.545,0.985,0.855,77.7264,4.9,56.667,11.208
Cyprus,2010,1856.2478,11.44206,0.3145779,,43094.992,0.959,0.859,80.6325,7.3,67.551,6.36
Cyprus,2011,1841.4391,11.57841,0.326255,,42184.42,0.964,0.863,80.8546,7.3,67.406,7.942
Cyprus,2012,1834.7371,11.80556,0.34312433,,40114.27,0.966,0.862,81.1284,6.7,67.261,12.097
