Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Norway,2012,1428.465,12.642094,0.25725982,,84450.15,0.991,0.941,81.4458,4.8,79.874,3.123
Norway,2013,1417.9874,12.678177,0.26361105,,84283.03,0.989,0.945,81.6683,4.7,80.286,3.423
Norway,2014,1420.2477,12.71426,0.26752558,,85044.75,0.989,0.949,82.0869,4.6,80.692,3.484
Norway,2015,1422.5608,12.77121,0.27496743,,85766.61,0.988,0.952,82.2728,4.5,81.091,4.296
Norway,2016,1429.0883,12.81906,0.28493318,,86004.54,0.986,0.956,82.4151,4.5,81.485,4.679
Norway,2017,1417.4723,12.94716,0.2698671,,87414.586,0.985,0.959,82.6242,4.4,81.871,4.162
Poland,2010,2048.8,12.31373,0.3321481,,27584.254,1.005,0.845,76.2823,6.0,60.892,9.637
Poland,2011,2043.6,12.55062,0.33180645,,29018.326,1.006,0.851,76.5683,5.4,60.78,9.632
Poland,2012,2038.4,12.78314,0.3302016,,29457.092,1.006,0.855,76.7748,5.4,60.654,10.088
Poland,2013,2034.7546,12.77855,0.33137318,,29676.557,1.006,0.865,77.0758,4.7,60.529,10.326
Poland,2014,2041.3219,12.83731,0.32824445,,30863.12,1.004,0.867,77.312,5.0,60.403,8.99
Poland,2015,2049.009,12.921064,0.3175091,,32252.387,1.006,0.869,77.5894,5.0,60.278,7.501
Poland,2016,2050.3591,13.00482,0.31189167,,33244.3,1.007,0.872,77.6395,5.1,60.178,6.161
Poland,2017,2028.4952,13.044803,0.2968527,,34952.836,1.007,0.874,77.7155,5.1,60.105,4.888
Portugal,2010,1889.7576,8.05815,0.35844672,,36897.203,0.993,0.831,80.1149,3.8,60.567,10.771
Portugal,2011,1866.5815,8.27712,0.36344677,,36318.336,0.988,0.836,80.5822,3.4,61.167,12.682
Portugal,2012,1849.0493,8.49537,0.36034793,,34988.68,0.988,0.837,80.5549,3.3,61.763,15.531
Portugal,2013,1859.1348,8.65514,0.36187103,,34835.01,0.989,0.842,80.9029,3.1,62.352,16.188
Portugal,2014,1866.8982,8.87094,0.35562173,,35283.008,0.985,0.847,81.3135,3.0,62.936,13.897
Portugal,2015,1874.9194,8.98673,0.355233,,35992.688,0.989,0.85,81.3213,3.1,63.514,12.447
Portugal,2016,1864.5854,9.11258,0.3519052,,36830.03,0.989,0.851,81.3636,3.1,64.086,11.068
Portugal,2017,1863.1744,9.21823,0.3380384,,38143.758,0.99,0.857,81.6605,3.3,64.652,8.869
Romania,2010,1860.6654,10.73447,0.3547109,,25125.145,0.982,0.813,73.5793,5.7,53.829,6.959
Romania,2011,1893.7997,10.85896,0.3586662,,26384.123,0.98,0.813,74.2877,5.2,53.96,7.177
Romania,2012,1811.5428,10.9559,0.3654543,,27006.336,0.976,0.807,74.314,5.4,53.974,6.794
Romania,2013,1806.4569,11.02074,0.3691507,,27182.37,0.969,0.811,74.9179,5.4,53.937,7.096
Romania,2014,1792.5336,10.85934,0.36009043,,28407.402,0.963,0.811,74.7654,5.9,53.9,6.802
Romania,2015,1785.6711,10.98409,0.35913625,,29442.305,0.955,0.813,74.7371,6.3,53.887,6.812
Romania,2016,1792.7908,11.08049,0.34406662,,30458.562,0.975,0.815,75.0209,6.8,53.9,5.901
Romania,2017,1805.9998,11.14865,0.36012593,,33145.82,0.98,0.823,75.0236,7.3,53.936,4.927
Slovakia,2010,1805.1501,12.274459,0.2731572,,29809.037,0.994,0.841,75.4963,4.7,54.685,14.387
Slovakia,2011,1793.0127,12.49848,0.2653828,,30533.477,0.992,0.846,76.0181,4.7,54.42,13.634
Slovakia,2012,1789.0425,12.37735,0.26115808,,30959.865,0.991,0.846,76.1764,4.8,54.28,13.966
Slovakia,2013,1771.6141,12.442,0.28086153,,31144.129,0.99,0.849,76.5139,4.7,54.14,14.227
Slovakia,2014,1759.6132,12.4436,0.26103425,,31956.469,0.992,0.851,76.8484,4.9,54.0,11.537
Slovakia,2015,1754.0863,12.63834,0.26491234,,33578.89,0.994,0.852,76.6505,5.3,53.889,11.492
Slovakia,2016,1740.0107,12.71166,0.2515492,,34188.84,0.992,0.855,77.2156,5.5,53.806,9.679
Slovakia,2017,1745.2307,12.76618,0.23237365,,35117.14,0.996,0.857,77.22,5.8,53.751,8.142
Slovenia,2010,1680.1403,12.0592,0.24933259,,38364.383,1.003,0.89,79.3008,3.2,52.658,7.248
Slovenia,2011,1663.1636,12.21229,0.24868034,,38535.707,1.008,0.892,79.5884,3.2,52.883,8.182
Slovenia,2012,1644.5905,12.28007,0.25585502,,37333.69,1.003,0.892,79.7652,3.4,53.108,8.852
Slovenia,2013,1662.4053,12.38017,0.26241106,,36975.92,0.995,0.901,80.0884,3.0,53.332,10.116
Slovenia,2014,1681.9049,12.42836,0.25657535,,37960.152,0.997,0.903,80.2517,3.2,53.557,9.692
Slovenia,2015,1687.8574,12.5673,0.25408465,,38839.44,1.0,0.903,80.4994,3.1,53.781,8.975
Slovenia,2016,1666.9202,12.66755,0.24757937,,39988.71,0.999,0.909,80.512,3.2,54.02,8.007
Slovenia,2017,1655.089,12.70029,0.24219307,,42030.492,1.001,0.912,80.6163,3.1,54.273,6.573
South Korea,2010,2157.0649,11.63821,0.32021224,,37728.88,0.93,0.89,80.7172,6.5,81.936,3.324
South Korea,2011,2127.1472,11.733834,,,38819.777,0.931,0.895,81.1685,6.6,81.923,2.992
South Korea,2012,2103.2305,11.829458,0.31558052,,39543.996,0.933,0.897,81.3075,6.5,81.851,2.812
South Korea,2013,2094.2297,11.925082,,,40610.164,0.934,0.902,81.8356,6.4,81.779,2.747
South Korea,2014,2069.3149,12.020706,0.31192905,,41648.246,0.935,0.906,82.3641,6.0,81.707,3.082
South Korea,2015,2076.2959,12.11633,,,42593.008,0.936,0.908,82.5404,5.9,81.634,3.546
South Korea,2016,2063.3315,12.214286,0.35222206,,43674.508,0.938,0.912,82.9204,5.5,81.562,3.65
South Korea,2017,2063.3315,12.313033,0.34854642,,44928.05,0.94,0.915,83.2784,5.2,81.503,3.653
Spain,2010,1710.3958,9.36303,0.35244486,,42515.49,0.98,0.868,82.0063,3.6,78.442,19.86
Spain,2011,1715.5109,9.48401,0.35693976,,42093.582,0.98,0.873,82.1804,3.4,78.673,21.391
Spain,2012,1701.1927,9.51069,0.35403663,,40861.01,0.98,0.875,82.1905,3.5,78.902,24.788
Spain,2013,1693.5347,9.615365,0.36181897,,40409.99,0.98,0.88,82.6943,3.3,79.133,26.094
Spain,2014,1694.5872,9.72004,0.3605231,,41147.246,0.98,0.884,82.8283,3.4,79.366,24.442
Spain,2015,1699.4991,9.91214,0.3617834,,42851.414,0.981,0.889,82.6109,3.6,79.602,22.058
Spain,2016,1701.3669,10.01108,0.35757092,,44063.383,0.986,0.894,82.9999,3.7,79.84,19.635
Spain,2017,1686.4973,10.0767145,0.3465126,,45233.24,0.986,0.896,82.9862,3.7,80.08,17.224
Sweden,2010,1635.0068,12.20699,0.27736187,,55875.72,0.995,0.91,81.519,5.3,85.056,8.61
Sweden,2011,1632.517,12.27527,0.27605262,,57209.918,0.995,0.912,81.7584,5.0,85.297,7.804
Sweden,2012,1618.3754,12.34176,0.27643898,,56552.895,0.995,0.912,81.7299,5.3,85.62,7.976
Sweden,2013,1608.7183,12.23345,0.28822792,,56713.703,0.989,0.932,81.9354,5.4,85.936,8.052
Sweden,2014,1609.4229,12.29454,0.28388658,,57442.918,0.99,0.935,82.2241,5.5,86.247,7.954
Sweden,2015,1610.072,12.35441,0.29209688,,59345.35,0.988,0.937,82.1844,5.3,86.553,7.432
Sweden,2016,1626.4591,12.4136,0.29561213,,59981.418,0.986,0.939,82.3391,5.4,86.852,6.99
Sweden,2017,1609.2896,12.48605,0.28774142,,60258.727,0.979,0.941,82.4377,5.2,87.146,6.718
Switzerland,2010,1624.3464,13.32365,0.3255303,,74961.31,0.965,0.94,82.2873,5.5,73.607,4.808
Switzerland,2011,1619.3169,13.32542,0.3171362,,75476.55,0.964,0.94,82.5738,5.3,73.631,4.409
Switzerland,2012,1603.2313,13.41355,0.31567127,,75560.02,0.964,0.943,82.6167,5.3,73.653,4.491
Switzerland,2013,1582.8923,13.526831,0.3246219,,76034.81,0.966,0.947,82.6892,4.9,73.674,4.747
Switzerland,2014,1575.3215,13.64011,0.3252566,,76877.805,0.966,0.951,83.0841,5.1,73.696,4.826
Switzerland,2015,1589.4751,13.71188,0.32306957,,77257.68,0.968,0.952,82.8461,5.0,73.718,4.801
Switzerland,2016,1589.6758,13.66668,0.33042452,,77999.46,0.965,0.954,83.4457,5.0,73.739,4.918
Switzerland,2017,1589.6758,13.733185,0.32676333,,78328.09,0.968,0.955,83.414,4.8,73.761,4.797
Turkey,2010,1877.0,7.09209,0.3878508,,19751.621,0.905,0.75,74.9642,8.0,70.825,11.879
Turkey,2011,1864.0,7.35898,0.40039355,,21643.8,0.91,0.763,74.8234,8.0,71.402,9.789
Turkey,2012,1855.0,7.48707,0.40168938,,22392.938,0.915,0.772,75.5519,8.0,71.974,9.21
Turkey,2013,1832.0,7.63214,0.401785,,23983.133,0.92,0.802,76.1705,7.9,72.531,9.713
Turkey,2014,1832.0,7.79505,0.41236562,,24830.574,0.919,0.812,76.4519,7.8,73.077,9.901
Turkey,2015,1832.0,7.9584,0.42854458,,25992.297,0.923,0.821,76.5389,7.7,73.611,10.304
Turkey,2016,1832.0,8.09984,0.41873705,,26497.135,0.933,0.826,76.5948,7.5,74.134,10.899
Turkey,2017,1832.0,8.26819,0.4353174,,28117.953,0.937,0.833,77.0372,7.1,74.644,10.919
United Kingdom,2010,1643.2079,13.21277,0.337056,,48766.29,0.977,0.913,80.3908,4.4,81.302,7.787
United Kingdom,2011,1641.3157,13.18757,0.33191085,,48937.477,0.978,0.909,80.7961,4.4,81.57,8.038
United Kingdom,2012,1655.1066,13.33853,0.33090645,,49331.72,0.977,0.91,80.8594,4.7,81.837,7.885
United Kingdom,2013,1665.8917,12.83395,0.32699567,,49884.434,0.978,0.923,80.9232,4.2,82.102,7.525
United Kingdom,2014,1672.2679,12.88898,0.3314094,,51100.336,0.981,0.924,81.1529,4.4,82.365,6.11
United Kingdom,2015,1669.0747,12.979763,0.33311963,,51823.973,0.981,0.923,80.919,4.2,82.626,5.301
United Kingdom,2016,1668.3876,13.070547,0.33109283,,52421.082,0.982,0.926,81.0675,4.3,82.886,4.81
United Kingdom,2017,1670.2728,13.16133,0.3260817,,53449.293,0.983,0.929,81.164,4.1,83.143,4.33
United States,2010,1736.095,13.05184,0.40007547,,59799.285,0.991,0.916,78.6681,6.8,80.772,9.633
United States,2011,1745.0492,13.10288,0.40934193,,60294.98,0.991,0.918,78.7023,6.8,80.944,8.949
United States,2012,1745.438,13.14148,0.4093412,,61224.406,0.99,0.92,78.8169,6.8,81.119,8.069
United States,2013,1750.0786,13.20003,0.40649238,,62089.348,0.991,0.922,78.8175,6.8,81.299,7.375
United States,2014,1754.4224,13.22458,0.41508022,,63191.246,0.993,0.923,78.8785,6.9,81.483,6.168
United States,2015,1765.1826,13.25188,0.41235605,,64575.406,0.993,0.924,78.7219,6.9,81.671,5.28
United States,2016,1760.796,13.34291,0.41118968,,65275.57,0.992,0.926,78.686,7.0,81.862,4.869
United States,2017,1757.2255,13.41329,0.41177237,,66458.02,0.993,0.928,78.6483,6.9,82.058,4.355
